word,language,category,severity,variants,action
INSTIK,Filipino/Tagalog,ethnic_term,high,instik,block_and_flag
i n s t i k,Filipino/Tagalog,ethnic_term,high,instik,block_and_flag
BUMBAY,Filipino/Tagalog,ethnic_term,high,bumbay,block_and_flag
b u m b a y,Filipino/Tagalog,ethnic_term,high,bumbay,block_and_flag
TSEKWA,Filipino/Tagalog,ethnic_insult,high,tsekwa,block_and_flag
t s e k w a,Filipino/Tagalog,ethnic_insult,high,tsekwa,block_and_flag
TSEKUA,Filipino/Tagalog,ethnic_insult,high,tsekua,block_and_flag
t s e k u a,Filipino/Tagalog,ethnic_insult,high,tsekua,block_and_flag
NEGRITO,Filipino/Tagalog,racial_term,high,negrito,block_and_flag
n e g r i t o,Filipino/Tagalog,racial_term,high,negrito,block_and_flag
INDIO,Filipino/Tagalog,historical_ethnic_slur,high,indio,block_and_flag
i n d i o,Filipino/Tagalog,historical_ethnic_slur,high,indio,block_and_flag
MORO,Filipino/Tagalog,historical_ethnic_term,high,moro,block_and_flag
m o r o,Filipino/Tagalog,historical_ethnic_term,high,moro,block_and_flag
IGOROT,Filipino/Tagalog,ethnic_term,high,igorot,block_and_flag
i g o r o t,Filipino/Tagalog,ethnic_term,high,igorot,block_and_flag
LUMAD,Filipino/Tagalog,ethnic_term,high,lumad,block_and_flag
l u m a d,Filipino/Tagalog,ethnic_term,high,lumad,block_and_flag
GO BACK TO YOUR COUNTRY,English,xenophobic_insult,critical,go back to your country,block_and_flag
g o b a c k t o y o u r c o u n t r y,English,xenophobic_insult,critical,go back to your country,block_and_flag
gobacktoyourcountry,English,xenophobic_insult,critical,go back to your country,block_and_flag
YOU PEOPLE ARE INFERIOR,English,hate_targeting,critical,you people are inferior,block_and_flag
y o u p e o p l e a r e i n f e r i o r,English,hate_targeting,critical,you people are inferior,block_and_flag
youpeopleareinferior,English,hate_targeting,critical,you people are inferior,block_and_flag
YOUR RACE IS INFERIOR,English,hate_targeting,critical,your race is inferior,block_and_flag
y o u r r a c e i s i n f e r i o r,English,hate_targeting,critical,your race is inferior,block_and_flag
yourraceisinferior,English,hate_targeting,critical,your race is inferior,block_and_flag
PEOPLE OF YOUR RACE ARE ANIMALS,English,hate_targeting,critical,people of your race are animals,block_and_flag
p e o p l e o f y o u r r a c e a r e a n i m a l s,English,hate_targeting,critical,people of your race are animals,block_and_flag
peopleofyourraceareanimals,English,hate_targeting,critical,people of your race are animals,block_and_flag
I HATE YOUR RACE,English,hate_targeting,critical,I hate your race,block_and_flag
i h a t e y o u r r a c e,English,hate_targeting,critical,I hate your race,block_and_flag
ihateyourrace,English,hate_targeting,critical,I hate your race,block_and_flag
MGA LAHI NINYO AY BASURA,Filipino/Tagalog,hate_targeting,critical,mga lahi ninyo ay basura,block_and_flag
m g a l a h i n i n y o a y b a s u r a,Filipino/Tagalog,hate_targeting,critical,mga lahi ninyo ay basura,block_and_flag
mgalahininyoaybasura,Filipino/Tagalog,hate_targeting,critical,mga lahi ninyo ay basura,block_and_flag
BUMALIK KA SA BANSA MO,Filipino/Tagalog,xenophobic_insult,critical,bumalik ka sa bansa mo,block_and_flag
b u m a l i k k a s a b a n s a m o,Filipino/Tagalog,xenophobic_insult,critical,bumalik ka sa bansa mo,block_and_flag
bumalikkasabansamo,Filipino/Tagalog,xenophobic_insult,critical,bumalik ka sa bansa mo,block_and_flag
a n i m a l,Pangasinan/Ilocano,insult,high,animal,block_and_flag
ANIMAL,Pangasinan/Ilocano,insult,high,animal,block_and_flag
a.n.i.m.a.l,Pangasinan/Ilocano,insult,high,animal,block_and_flag
BAONINAM,Pangasinan/Ilocano,profanity,high,baoninam,block_and_flag
b.a.o.n.i.n.a.m,Pangasinan/Ilocano,profanity,high,baoninam,block_and_flag
b a o n i n a m,Pangasinan/Ilocano,profanity,high,baoninam,block_and_flag
b.o.t.n.i.n.a.m,Pangasinan/Ilocano,profanity,high,botninam,block_and_flag
botninam,Pangasinan/Ilocano,profanity,high,botninam,block_and_flag
b o t n i n a m,Pangasinan/Ilocano,profanity,high,botninam,block_and_flag
b a o n i n a t o,Pangasinan/Ilocano,profanity,high,baoninato,block_and_flag
b.a.o.n.i.n.a.t.o,Pangasinan/Ilocano,profanity,high,baoninato,block_and_flag
baoninato,Pangasinan/Ilocano,profanity,high,baoninato,block_and_flag
b o t n i n a t o,Pangasinan/Ilocano,profanity,high,botninato,block_and_flag
BOTNINATO,Pangasinan/Ilocano,profanity,high,botninato,block_and_flag
b.o.t.n.i.n.a.t.o,Pangasinan/Ilocano,profanity,high,botninato,block_and_flag
Ninam,Pangasinan/Ilocano,profanity,high,ninam,block_and_flag
n.i.n.a.m,Pangasinan/Ilocano,profanity,high,ninam,block_and_flag
n i n a m,Pangasinan/Ilocano,profanity,high,ninam,block_and_flag
u k i n i n a m,Ilocano,profanity,high,ukininam,block_and_flag
Ukininam,Ilocano,profanity,high,ukininam,block_and_flag
u.k.i.n.i.n.a.m,Ilocano,profanity,high,ukininam,block_and_flag
u.k.i.n.a.m,Ilocano,profanity,high,ukinam,block_and_flag
Ukina Na,Ilocano,profanity,high,ukina na,block_and_flag
u.k.i.n.a.n.a,Ilocano,profanity,high,ukina na,block_and_flag
ukinana,Ilocano,profanity,high,ukina na,block_and_flag
u k i n a n a,Ilocano,profanity,high,ukina na,block_and_flag
UKITNAM,Ilocano,profanity,high,ukitnam,block_and_flag
u.k.i.t.n.a.m,Ilocano,profanity,high,ukitnam,block_and_flag
u k i t n a m,Ilocano,profanity,high,ukitnam,block_and_flag
Ukinnam,Ilocano,profanity,high,ukinnam,block_and_flag
u k i n n a m,Ilocano,profanity,high,ukinnam,block_and_flag
u.k.i.n.n.a.m,Ilocano,profanity,high,ukinnam,block_and_flag
"animal,",Pangasinan/Ilocano,insult,high,animal,block_and_flag
 animal ,Pangasinan/Ilocano,insult,high,animal,block_and_flag
"a n i m a l,",Pangasinan/Ilocano,insult,high,animal,block_and_flag
animal.,Pangasinan/Ilocano,insult,high,animal,block_and_flag
animal?,Pangasinan/Ilocano,insult,high,animal,block_and_flag
a n i m a l?,Pangasinan/Ilocano,insult,high,animal,block_and_flag
a  n  i  m  a  l,Pangasinan/Ilocano,insult,high,animal,block_and_flag
a nimal,Pangasinan/Ilocano,insult,high,animal,block_and_flag
a n i m a l.,Pangasinan/Ilocano,insult,high,animal,block_and_flag
baoninam.,Pangasinan/Ilocano,profanity,high,baoninam,block_and_flag
b  a  o  n  i  n  a  m,Pangasinan/Ilocano,profanity,high,baoninam,block_and_flag
"b a o n i n a m,",Pangasinan/Ilocano,profanity,high,baoninam,block_and_flag
b a o n i n a m?,Pangasinan/Ilocano,profanity,high,baoninam,block_and_flag
b aoninam,Pangasinan/Ilocano,profanity,high,baoninam,block_and_flag
"baoninam,",Pangasinan/Ilocano,profanity,high,baoninam,block_and_flag
b a o n i n a m.,Pangasinan/Ilocano,profanity,high,baoninam,block_and_flag
baoninam?,Pangasinan/Ilocano,profanity,high,baoninam,block_and_flag
 baoninam ,Pangasinan/Ilocano,profanity,high,baoninam,block_and_flag
 botninam ,Pangasinan/Ilocano,profanity,high,botninam,block_and_flag
b  o  t  n  i  n  a  m,Pangasinan/Ilocano,profanity,high,botninam,block_and_flag
botninam.,Pangasinan/Ilocano,profanity,high,botninam,block_and_flag
b o t n i n a m.,Pangasinan/Ilocano,profanity,high,botninam,block_and_flag
b otninam,Pangasinan/Ilocano,profanity,high,botninam,block_and_flag
"botninam,",Pangasinan/Ilocano,profanity,high,botninam,block_and_flag
"b o t n i n a m,",Pangasinan/Ilocano,profanity,high,botninam,block_and_flag
b o t n i n a m?,Pangasinan/Ilocano,profanity,high,botninam,block_and_flag
botninam?,Pangasinan/Ilocano,profanity,high,botninam,block_and_flag
b a o n i n a t o.,Pangasinan/Ilocano,profanity,high,baoninato,block_and_flag
b aoninato,Pangasinan/Ilocano,profanity,high,baoninato,block_and_flag
b a o n i n a t o?,Pangasinan/Ilocano,profanity,high,baoninato,block_and_flag
b  a  o  n  i  n  a  t  o,Pangasinan/Ilocano,profanity,high,baoninato,block_and_flag
 baoninato ,Pangasinan/Ilocano,profanity,high,baoninato,block_and_flag
"b a o n i n a t o,",Pangasinan/Ilocano,profanity,high,baoninato,block_and_flag
baoninato?,Pangasinan/Ilocano,profanity,high,baoninato,block_and_flag
baoninato.,Pangasinan/Ilocano,profanity,high,baoninato,block_and_flag
"baoninato,",Pangasinan/Ilocano,profanity,high,baoninato,block_and_flag
b otninato,Pangasinan/Ilocano,profanity,high,botninato,block_and_flag
b o t n i n a t o?,Pangasinan/Ilocano,profanity,high,botninato,block_and_flag
botninato.,Pangasinan/Ilocano,profanity,high,botninato,block_and_flag
"botninato,",Pangasinan/Ilocano,profanity,high,botninato,block_and_flag
b  o  t  n  i  n  a  t  o,Pangasinan/Ilocano,profanity,high,botninato,block_and_flag
"b o t n i n a t o,",Pangasinan/Ilocano,profanity,high,botninato,block_and_flag
 botninato ,Pangasinan/Ilocano,profanity,high,botninato,block_and_flag
botninato?,Pangasinan/Ilocano,profanity,high,botninato,block_and_flag
b o t n i n a t o.,Pangasinan/Ilocano,profanity,high,botninato,block_and_flag
n i n a m.,Pangasinan/Ilocano,profanity,high,ninam,block_and_flag
n inam,Pangasinan/Ilocano,profanity,high,ninam,block_and_flag
n  i  n  a  m,Pangasinan/Ilocano,profanity,high,ninam,block_and_flag
ninam?,Pangasinan/Ilocano,profanity,high,ninam,block_and_flag
n i n a m?,Pangasinan/Ilocano,profanity,high,ninam,block_and_flag
 ninam ,Pangasinan/Ilocano,profanity,high,ninam,block_and_flag
ninam.,Pangasinan/Ilocano,profanity,high,ninam,block_and_flag
"n i n a m,",Pangasinan/Ilocano,profanity,high,ninam,block_and_flag
"ninam,",Pangasinan/Ilocano,profanity,high,ninam,block_and_flag
ukininam.,Ilocano,profanity,high,ukininam,block_and_flag
 ukininam ,Ilocano,profanity,high,ukininam,block_and_flag
"u k i n i n a m,",Ilocano,profanity,high,ukininam,block_and_flag
u k i n i n a m?,Ilocano,profanity,high,ukininam,block_and_flag
ukininam?,Ilocano,profanity,high,ukininam,block_and_flag
u  k  i  n  i  n  a  m,Ilocano,profanity,high,ukininam,block_and_flag
u k i n i n a m.,Ilocano,profanity,high,ukininam,block_and_flag
u kininam,Ilocano,profanity,high,ukininam,block_and_flag
"ukininam,",Ilocano,profanity,high,ukininam,block_and_flag
 ukinam ,Ilocano,profanity,high,ukinam,block_and_flag
ukinam.,Ilocano,profanity,high,ukinam,block_and_flag
u k i n a m?,Ilocano,profanity,high,ukinam,block_and_flag
u k i n a m.,Ilocano,profanity,high,ukinam,block_and_flag
"u k i n a m,",Ilocano,profanity,high,ukinam,block_and_flag
u  k  i  n  a  m,Ilocano,profanity,high,ukinam,block_and_flag
ukinam?,Ilocano,profanity,high,ukinam,block_and_flag
"ukinam,",Ilocano,profanity,high,ukinam,block_and_flag
u k i n a n a?,Ilocano,profanity,high,ukina na,block_and_flag
u  k  i  n  a  n  a,Ilocano,profanity,high,ukina na,block_and_flag
"ukinana,",Ilocano,profanity,high,ukina na,block_and_flag
u kinana,Ilocano,profanity,high,ukina na,block_and_flag
u k i n a n a.,Ilocano,profanity,high,ukina na,block_and_flag
ukinana.,Ilocano,profanity,high,ukina na,block_and_flag
ukinana?,Ilocano,profanity,high,ukina na,block_and_flag
 ukinana ,Ilocano,profanity,high,ukina na,block_and_flag
"u k i n a n a,",Ilocano,profanity,high,ukina na,block_and_flag
"u k i t n a m,",Ilocano,profanity,high,ukitnam,block_and_flag
ukitnam?,Ilocano,profanity,high,ukitnam,block_and_flag
u k i t n a m.,Ilocano,profanity,high,ukitnam,block_and_flag
u kitnam,Ilocano,profanity,high,ukitnam,block_and_flag
 ukitnam ,Ilocano,profanity,high,ukitnam,block_and_flag
u  k  i  t  n  a  m,Ilocano,profanity,high,ukitnam,block_and_flag
u k i t n a m?,Ilocano,profanity,high,ukitnam,block_and_flag
"ukitnam,",Ilocano,profanity,high,ukitnam,block_and_flag
ukitnam.,Ilocano,profanity,high,ukitnam,block_and_flag
u  k  i  n  n  a  m,Ilocano,profanity,high,ukinnam,block_and_flag
"ukinnam,",Ilocano,profanity,high,ukinnam,block_and_flag
u k i n n a m.,Ilocano,profanity,high,ukinnam,block_and_flag
ukinnam.,Ilocano,profanity,high,ukinnam,block_and_flag
u kinnam,Ilocano,profanity,high,ukinnam,block_and_flag
 ukinnam ,Ilocano,profanity,high,ukinnam,block_and_flag
"u k i n n a m,",Ilocano,profanity,high,ukinnam,block_and_flag
u k i n n a m?,Ilocano,profanity,high,ukinnam,block_and_flag
ukinnam?,Ilocano,profanity,high,ukinnam,block_and_flag
nimal ka,Pangasinan/Ilocano,insult,high,animal ka,block_and_flag
nimalka?,Pangasinan/Ilocano,insult,high,animal ka,block_and_flag
nimalka,Pangasinan/Ilocano,insult,high,animal ka,block_and_flag
n imalka,Pangasinan/Ilocano,insult,high,animal ka,block_and_flag
n  i  m  a  l  k  a,Pangasinan/Ilocano,insult,high,animal ka,block_and_flag
"nimalka,",Pangasinan/Ilocano,insult,high,animal ka,block_and_flag
n i m a l k a?,Pangasinan/Ilocano,insult,high,animal ka,block_and_flag
n i m a l k a,Pangasinan/Ilocano,insult,high,animal ka,block_and_flag
nimalka.,Pangasinan/Ilocano,insult,high,animal ka,block_and_flag
n i m a l k a.,Pangasinan/Ilocano,insult,high,animal ka,block_and_flag
 nimalka ,Pangasinan/Ilocano,insult,high,animal ka,block_and_flag
"n i m a l k a,",Pangasinan/Ilocano,insult,high,animal ka,block_and_flag
nmalka?,Pangasinan/Ilocano,insult,high,animal ka,block_and_flag
n  m  a  l  k  a,Pangasinan/Ilocano,insult,high,animal ka,block_and_flag
n m a l k a?,Pangasinan/Ilocano,insult,high,animal ka,block_and_flag
nmal ka,Pangasinan/Ilocano,insult,high,animal ka,block_and_flag
nmalka.,Pangasinan/Ilocano,insult,high,animal ka,block_and_flag
n m a l k a.,Pangasinan/Ilocano,insult,high,animal ka,block_and_flag
nmalka,Pangasinan/Ilocano,insult,high,animal ka,block_and_flag
n m a l k a,Pangasinan/Ilocano,insult,high,animal ka,block_and_flag
"nmalka,",Pangasinan/Ilocano,insult,high,animal ka,block_and_flag
"n m a l k a,",Pangasinan/Ilocano,insult,high,animal ka,block_and_flag
 nmalka ,Pangasinan/Ilocano,insult,high,animal ka,block_and_flag
n malka,Pangasinan/Ilocano,insult,high,animal ka,block_and_flag
"animal,",Pangasinan/Ilocano,insult,high,animal,block_and_flag
 animal ,Pangasinan/Ilocano,insult,high,animal,block_and_flag
"a n i m a l,",Pangasinan/Ilocano,insult,high,animal,block_and_flag
animal.,Pangasinan/Ilocano,insult,high,animal,block_and_flag
animal?,Pangasinan/Ilocano,insult,high,animal,block_and_flag
a n i m a l?,Pangasinan/Ilocano,insult,high,animal,block_and_flag
a n i m a l,Pangasinan/Ilocano,insult,high,animal,block_and_flag
a  n  i  m  a  l,Pangasinan/Ilocano,insult,high,animal,block_and_flag
a nimal,Pangasinan/Ilocano,insult,high,animal,block_and_flag
animal,Pangasinan/Ilocano,insult,high,animal,block_and_flag
a n i m a l.,Pangasinan/Ilocano,insult,high,animal,block_and_flag
 botninam ,Pangasinan/Ilocano,profanity,high,botninam,block_and_flag
b  o  t  n  i  n  a  m,Pangasinan/Ilocano,profanity,high,botninam,block_and_flag
botninam.,Pangasinan/Ilocano,profanity,high,botninam,block_and_flag
b o t n i n a m.,Pangasinan/Ilocano,profanity,high,botninam,block_and_flag
b otninam,Pangasinan/Ilocano,profanity,high,botninam,block_and_flag
"botninam,",Pangasinan/Ilocano,profanity,high,botninam,block_and_flag
b o t n i n a m,Pangasinan/Ilocano,profanity,high,botninam,block_and_flag
"b o t n i n a m,",Pangasinan/Ilocano,profanity,high,botninam,block_and_flag
botninam,Pangasinan/Ilocano,profanity,high,botninam,block_and_flag
b o t n i n a m?,Pangasinan/Ilocano,profanity,high,botninam,block_and_flag
botninam?,Pangasinan/Ilocano,profanity,high,botninam,block_and_flag
b t n n m?,Pangasinan/Ilocano,profanity,high,botninam,block_and_flag
 btnnm ,Pangasinan/Ilocano,profanity,high,botninam,block_and_flag
btnnm,Pangasinan/Ilocano,profanity,high,botninam,block_and_flag
b t n n m.,Pangasinan/Ilocano,profanity,high,botninam,block_and_flag
"btnnm,",Pangasinan/Ilocano,profanity,high,botninam,block_and_flag
b tnnm,Pangasinan/Ilocano,profanity,high,botninam,block_and_flag
b  t  n  n  m,Pangasinan/Ilocano,profanity,high,botninam,block_and_flag
btnnm.,Pangasinan/Ilocano,profanity,high,botninam,block_and_flag
btnnm?,Pangasinan/Ilocano,profanity,high,botninam,block_and_flag
b t n n m,Pangasinan/Ilocano,profanity,high,botninam,block_and_flag
"b t n n m,",Pangasinan/Ilocano,profanity,high,botninam,block_and_flag
 ukinam ,Ilocano,profanity,high,ukinam,block_and_flag
ukinam.,Ilocano,profanity,high,ukinam,block_and_flag
u k i n a m?,Ilocano,profanity,high,ukinam,block_and_flag
u k i n a m.,Ilocano,profanity,high,ukinam,block_and_flag
ukinam,Ilocano,profanity,high,ukinam,block_and_flag
"u k i n a m,",Ilocano,profanity,high,ukinam,block_and_flag
u  k  i  n  a  m,Ilocano,profanity,high,ukinam,block_and_flag
u k i n a m,Ilocano,profanity,high,ukinam,block_and_flag
ukinam?,Ilocano,profanity,high,ukinam,block_and_flag
"ukinam,",Ilocano,profanity,high,ukinam,block_and_flag
u kinam,Ilocano,profanity,high,ukinam,block_and_flag
ukininam.,Ilocano,profanity,high,ukininam,block_and_flag
 ukininam ,Ilocano,profanity,high,ukininam,block_and_flag
"u k i n i n a m,",Ilocano,profanity,high,ukininam,block_and_flag
u k i n i n a m?,Ilocano,profanity,high,ukininam,block_and_flag
ukininam?,Ilocano,profanity,high,ukininam,block_and_flag
u k i n i n a m,Ilocano,profanity,high,ukininam,block_and_flag
u  k  i  n  i  n  a  m,Ilocano,profanity,high,ukininam,block_and_flag
ukininam,Ilocano,profanity,high,ukininam,block_and_flag
u k i n i n a m.,Ilocano,profanity,high,ukininam,block_and_flag
u kininam,Ilocano,profanity,high,ukininam,block_and_flag
"ukininam,",Ilocano,profanity,high,ukininam,block_and_flag
n i n a m.,Pangasinan/Ilocano,profanity,high,ninam,block_and_flag
n i n a m,Pangasinan/Ilocano,profanity,high,ninam,block_and_flag
n inam,Pangasinan/Ilocano,profanity,high,ninam,block_and_flag
n  i  n  a  m,Pangasinan/Ilocano,profanity,high,ninam,block_and_flag
ninam?,Pangasinan/Ilocano,profanity,high,ninam,block_and_flag
n i n a m?,Pangasinan/Ilocano,profanity,high,ninam,block_and_flag
 ninam ,Pangasinan/Ilocano,profanity,high,ninam,block_and_flag
ninam.,Pangasinan/Ilocano,profanity,high,ninam,block_and_flag
ninam,Pangasinan/Ilocano,profanity,high,ninam,block_and_flag
"n i n a m,",Pangasinan/Ilocano,profanity,high,ninam,block_and_flag
"ninam,",Pangasinan/Ilocano,profanity,high,ninam,block_and_flag
baoninam.,Pangasinan/Ilocano,profanity,high,baoninam,block_and_flag
baoninam,Pangasinan/Ilocano,profanity,high,baoninam,block_and_flag
b  a  o  n  i  n  a  m,Pangasinan/Ilocano,profanity,high,baoninam,block_and_flag
"b a o n i n a m,",Pangasinan/Ilocano,profanity,high,baoninam,block_and_flag
b a o n i n a m?,Pangasinan/Ilocano,profanity,high,baoninam,block_and_flag
b aoninam,Pangasinan/Ilocano,profanity,high,baoninam,block_and_flag
b a o n i n a m,Pangasinan/Ilocano,profanity,high,baoninam,block_and_flag
"baoninam,",Pangasinan/Ilocano,profanity,high,baoninam,block_and_flag
b a o n i n a m.,Pangasinan/Ilocano,profanity,high,baoninam,block_and_flag
baoninam?,Pangasinan/Ilocano,profanity,high,baoninam,block_and_flag
 baoninam ,Pangasinan/Ilocano,profanity,high,baoninam,block_and_flag
